open_time,open,high,low,close,close_time
1742140800000,1894.21,1923.9,1892.52,1905.29,1742144399999
1742144400000,1905.28,1915.99,1902.26,1909.33,1742147999999
1742148000000,1909.33,1909.86,1890.24,1895.0,1742151599999
1742151600000,1894.99,1895.67,1857.08,1881.77,1742155199999
1742155200000,1881.78,1894.74,1880.9,1893.67,1742158799999
1742158800000,1893.66,1897.64,1883.44,1888.57,1742162399999
1742162400000,1888.56,1890.46,1872.94,1873.62,1742165999999
1742166000000,1873.62,1888.21,1869.11,1885.97,1742169599999
1742169600000,1885.96,1905.74,1885.41,1901.03,1742173199999
1742173200000,1901.03,1909.99,1895.83,1902.17,1742176799999
1742176800000,1902.16,1913.49,1900.23,1906.65,1742180399999
1742180400000,1906.65,1914.88,1905.59,1908.08,1742183999999
1742184000000,1908.08,1912.38,1901.66,1904.12,1742187599999
1742187600000,1904.12,1904.55,1892.85,1893.1,1742191199999
1742191200000,1893.11,1898.49,1878.66,1892.69,1742194799999
1742194800000,1892.69,1902.49,1890.71,1900.13,1742198399999
1742198400000,1900.13,1904.8,1892.06,1902.92,1742201999999
1742202000000,1902.92,1912.84,1899.77,1911.82,1742205599999
1742205600000,1911.82,1918.0,1907.2,1912.08,1742209199999
1742209200000,1912.08,1916.15,1907.19,1909.71,1742212799999
1742212800000,1909.72,1947.0,1901.64,1907.5,1742216399999
1742216400000,1907.5,1913.63,1892.39,1897.53,1742219999999
1742220000000,1897.52,1911.49,1886.29,1898.76,1742223599999
1742223600000,1898.77,1922.33,1893.03,1918.49,1742227199999
1742227200000,1918.5,1924.5,1906.44,1913.41,1742230799999
1742230800000,1913.41,1934.55,1911.15,1929.69,1742234399999
1742234400000,1929.69,1951.11,1929.2,1947.86,1742237999999
1742238000000,1947.87,1951.76,1939.45,1941.24,1742241599999
1742241600000,1941.24,1942.14,1930.41,1934.6,1742245199999
1742245200000,1934.61,1949.2,1932.8,1940.22,1742248799999
1742248800000,1940.22,1942.0,1931.32,1931.57,1742252399999
1742252400000,1931.57,1931.89,1921.08,1925.37,1742255999999
1742256000000,1925.36,1929.57,1918.13,1921.5,1742259599999
1742259600000,1921.51,1924.03,1898.56,1902.41,1742263199999
1742263200000,1902.4,1916.99,1901.9,1910.65,1742266799999
1742266800000,1910.64,1910.65,1896.3,1900.27,1742270399999
1742270400000,1900.26,1907.69,1898.78,1903.33,1742273999999
1742274000000,1903.33,1909.88,1903.26,1906.79,1742277599999
1742277600000,1906.79,1906.97,1892.9,1897.49,1742281199999
1742281200000,1897.5,1909.31,1896.24,1903.99,1742284799999
1742284800000,1903.99,1912.3,1900.2,1907.78,1742288399999
1742288400000,1907.77,1911.5,1899.0,1900.48,1742291999999
1742292000000,1900.48,1902.2,1884.25,1894.45,1742295599999
1742295600000,1894.45,1897.94,1888.23,1891.54,1742299199999
1742299200000,1891.54,1900.0,1888.42,1895.15,1742302799999
1742302800000,1895.14,1902.59,1871.14,1878.79,1742306399999
1742306400000,1878.78,1896.66,1873.7,1894.0,1742309999999
1742310000000,1894.0,1897.11,1876.56,1879.97,1742313599999
1742313600000,1879.97,1890.82,1875.01,1887.0,1742317199999
1742317200000,1886.99,1888.88,1873.73,1875.81,1742320799999
1742320800000,1875.8,1891.5,1872.35,1889.46,1742324399999
1742324400000,1889.46,1907.8,1887.01,1903.53,1742327999999
1742328000000,1903.53,1910.07,1897.73,1905.79,1742331599999
1742331600000,1905.79,1915.02,1904.9,1910.8,1742335199999
1742335200000,1910.8,1919.58,1907.6,1917.16,1742338799999
1742338800000,1917.16,1935.44,1917.16,1930.64,1742342399999
1742342400000,1930.63,1948.5,1928.53,1944.79,1742345999999
1742346000000,1944.78,1946.49,1930.43,1930.71,1742349599999
