open_time,open,high,low,close,close_time
1679065200000,1710.66,1723.5,1706.24,1716.97,1679068799999
1679068800000,1716.97,1723.5,1709.25,1711.64,1679072399999
1679072400000,1711.65,1732.5,1711.65,1725.2,1679075999999
1679076000000,1725.2,1732.76,1713.16,1732.5,1679079599999
1679079600000,1732.5,1744.0,1728.33,1743.71,1679083199999
1679083200000,1743.72,1755.14,1731.3,1740.93,1679086799999
1679086800000,1740.84,1772.36,1739.1,1757.74,1679090399999
1679090400000,1757.75,1784.94,1750.0,1772.15,1679093999999
1679094000000,1772.16,1801.22,1771.77,1789.21,1679097599999
1679097600000,1789.21,1825.51,1767.0,1820.24,1679101199999
1679101200000,1820.24,1833.54,1812.65,1814.64,1679104799999
1679104800000,1814.65,1825.0,1799.82,1806.0,1679108399999
1679108400000,1806.0,1814.37,1802.55,1810.5,1679111999999
1679112000000,1810.5,1814.23,1802.88,1805.3,1679115599999
1679115600000,1805.29,1815.0,1801.0,1812.71,1679119199999
1679119200000,1812.71,1813.08,1807.25,1812.17,1679122799999
1679122800000,1812.18,1822.0,1809.35,1814.29,1679126399999
1679126400000,1814.29,1816.4,1790.55,1809.4,1679129999999
1679130000000,1809.4,1814.3,1801.76,1812.24,1679133599999
1679133600000,1812.23,1818.11,1811.24,1815.21,1679137199999
1679137200000,1815.21,1815.97,1809.56,1813.16,1679140799999
1679140800000,1813.16,1846.15,1803.07,1827.24,1679144399999
1679144400000,1827.23,1829.38,1811.0,1815.07,1679147999999
1679148000000,1815.08,1824.24,1812.49,1814.46,1679151599999
1679151600000,1814.45,1816.08,1774.34,1785.73,1679155199999
1679155200000,1785.73,1804.9,1745.0,1793.96,1679158799999
1679158800000,1793.97,1799.77,1760.55,1786.17,1679162399999
1679162400000,1786.17,1794.69,1780.22,1792.51,1679165999999
1679166000000,1792.51,1798.71,1787.35,1789.88,1679169599999
1679169600000,1789.87,1802.1,1783.18,1790.48,1679173199999
1679173200000,1790.48,1791.72,1775.16,1776.85,1679176799999
1679176800000,1776.86,1780.42,1762.58,1768.66,1679180399999
1679180400000,1768.66,1773.7,1750.23,1758.52,1679183999999
1679184000000,1758.52,1780.43,1757.8,1774.45,1679187599999
1679187600000,1774.44,1786.34,1772.82,1777.97,1679191199999
1679191200000,1777.97,1783.12,1774.5,1777.34,1679194799999
1679194800000,1777.34,1784.74,1773.76,1782.1,1679198399999
1679198400000,1782.09,1786.72,1775.14,1778.73,1679201999999
1679202000000,1778.73,1784.68,1775.51,1777.34,1679205599999
1679205600000,1777.33,1778.53,1766.6,1769.34,1679209199999
1679209200000,1769.33,1774.99,1761.29,1774.79,1679212799999
1679212800000,1774.79,1780.25,1768.03,1773.61,1679216399999
1679216400000,1773.61,1779.52,1768.62,1777.36,1679219999999
1679220000000,1777.36,1779.6,1771.75,1774.0,1679223599999
1679223600000,1773.99,1788.97,1765.18,1784.2,1679227199999
1679227200000,1784.2,1795.0,1779.01,1782.93,1679230799999
1679230800000,1782.94,1784.72,1772.55,1775.59,1679234399999
1679234400000,1775.59,1790.55,1774.68,1785.83,1679237999999
1679238000000,1785.83,1815.17,1784.03,1792.79,1679241599999
1679241600000,1792.78,1834.64,1791.0,1816.04,1679245199999
1679245200000,1816.03,1820.0,1804.74,1807.8,1679248799999
1679248800000,1807.8,1822.34,1804.04,1821.94,1679252399999
1679252400000,1822.0,1841.96,1816.02,1820.9,1679255999999
1679256000000,1820.9,1827.89,1786.58,1793.68,1679259599999
1679259600000,1793.68,1812.1,1788.07,1792.99,1679263199999
1679263200000,1792.99,1807.91,1786.1,1804.24,1679266799999
1679266800000,1804.24,1810.0,1772.87,1779.99,1679270399999
1679270400000,1779.98,1784.99,1763.55,1771.0,1679273999999
1679274000000,1770.99,1779.0,1760.3,1774.17,1679277599999
1679277600000,1774.18,1779.31,1749.25,1765.76,1679281199999
1679281200000,1765.76,1767.75,1740.14,1750.61,1679284799999
1679284800000,1750.6,1754.4,1734.2,1751.26,1679288399999
1679288400000,1751.25,1759.39,1750.31,1758.68,1679291999999
1679292000000,1758.68,1762.9,1752.07,1757.53,1679295599999
1679295600000,1757.53,1793.34,1757.28,1791.16,1679299199999
1679299200000,1791.16,1803.37,1779.33,1788.09,1679302799999
1679302800000,1788.09,1793.5,1770.0,1779.32,1679306399999
1679306400000,1779.32,1782.76,1765.31,1774.05,1679309999999
1679310000000,1774.05,1787.0,1769.24,1778.37,1679313599999
1679313600000,1778.37,1782.03,1771.32,1781.45,1679317199999
1679317200000,1781.44,1781.45,1751.11,1759.21,1679320799999
1679320800000,1759.2,1777.53,1758.3,1772.92,1679324399999
1679324400000,1772.91,1776.25,1759.42,1762.03,1679327999999
1679328000000,1762.02,1768.02,1746.36,1751.69,1679331599999
1679331600000,1751.69,1762.88,1745.0,1746.15,1679335199999
1679335200000,1746.15,1766.78,1740.49,1762.2,1679338799999
1679338800000,1762.19,1763.23,1740.03,1751.9,1679342399999
1679342400000,1751.92,1759.99,1748.18,1757.18,1679345999999
1679346000000,1757.19,1761.55,1748.53,1752.68,1679349599999
1679349600000,1752.68,1754.11,1745.24,1746.93,1679353199999
1679353200000,1746.94,1750.26,1722.1,1731.71,1679356799999
1679356800000,1731.71,1757.25,1727.95,1747.78,1679360399999
1679360400000,1747.78,1754.98,1738.34,1751.32,1679363999999
1679364000000,1751.31,1753.32,1745.0,1747.95,1679367599999
1679367600000,1747.95,1751.68,1742.18,1745.52,1679371199999
1679371200000,1745.52,1753.71,1744.36,1749.2,1679374799999
1679374800000,1749.19,1749.19,1735.13,1739.61,1679378399999
1679378400000,1739.61,1745.58,1733.31,1737.67,1679381999999
1679382000000,1737.67,1739.47,1716.0,1729.11,1679385599999
1679385600000,1729.11,1739.81,1723.8,1736.24,1679389199999
1679389200000,1736.23,1755.71,1733.63,1747.49,1679392799999
1679392800000,1747.48,1767.99,1746.1,1756.91,1679396399999
1679396400000,1756.91,1763.0,1752.25,1760.47,1679399999999
1679400000000,1760.47,1808.13,1757.39,1804.59,1679403599999
1679403600000,1804.6,1819.9,1802.25,1819.21,1679407199999
1679407200000,1819.21,1836.0,1796.27,1804.5,1679410799999
1679410800000,1804.51,1818.86,1802.09,1811.51,1679414399999
1679414400000,1811.52,1825.99,1805.36,1811.01,1679417999999
1679418000000,1811.01,1814.88,1786.17,1789.15,1679421599999
1679421600000,1789.16,1792.99,1772.31,1787.48,1679425199999
1679425200000,1787.48,1798.4,1784.22,1789.85,1679428799999
1679428800000,1790.0,1803.35,1786.33,1796.18,1679432399999
1679432400000,1796.19,1798.77,1780.85,1792.49,1679435999999
1679436000000,1792.49,1795.71,1784.11,1793.14,1679439599999
1679439600000,1793.14,1805.0,1789.17,1800.14,1679443199999
1679443200000,1800.13,1801.53,1776.66,1787.37,1679446799999
1679446800000,1787.38,1794.49,1782.91,1793.39,1679450399999
1679450400000,1793.38,1798.9,1792.56,1793.18,1679453999999
1679454000000,1793.18,1806.86,1789.02,1798.54,1679457599999
1679457600000,1798.54,1800.44,1794.24,1800.29,1679461199999
1679461200000,1800.3,1807.13,1799.91,1802.93,1679464799999
1679464800000,1802.93,1803.5,1795.23,1797.59,1679468399999
1679468400000,1797.6,1797.86,1785.96,1791.73,1679471999999
1679472000000,1791.73,1793.3,1782.0,1785.01,1679475599999
1679475600000,1785.0,1790.18,1780.02,1785.64,1679479199999
1679479200000,1785.63,1793.61,1783.96,1789.42,1679482799999
1679482800000,1789.41,1792.98,1782.0,1784.53,1679486399999
1679486400000,1784.52,1801.0,1782.5,1794.84,1679489999999
1679490000000,1794.84,1805.0,1791.45,1796.5,1679493599999
1679493600000,1796.51,1818.0,1795.1,1800.83,1679497199999
1679497200000,1800.84,1819.4,1797.44,1805.26,1679500799999
1679500800000,1805.26,1809.0,1795.0,1802.49,1679504399999
1679504400000,1802.5,1802.74,1775.0,1786.22,1679507999999
1679508000000,1786.2,1810.6,1750.0,1771.45,1679511599999
1679511600000,1771.45,1771.64,1709.0,1716.12,1679515199999
1679515200000,1716.11,1734.99,1710.0,1731.53,1679518799999
1679518800000,1731.53,1737.68,1717.0,1718.49,1679522399999
1679522400000,1718.48,1728.01,1712.5,1725.89,1679525999999
1679526000000,1725.89,1736.15,1724.57,1733.61,1679529599999
1679529600000,1733.61,1744.52,1729.0,1736.53,1679533199999
1679533200000,1736.53,1736.9,1728.5,1729.46,1679536799999
1679536800000,1729.46,1739.0,1728.61,1738.07,1679540399999
1679540400000,1738.06,1742.0,1735.24,1736.42,1679543999999
1679544000000,1736.43,1738.6,1729.09,1731.12,1679547599999
1679547600000,1731.12,1752.21,1729.68,1748.57,1679551199999
1679551200000,1748.57,1752.87,1745.19,1749.72,1679554799999
1679554800000,1749.72,1750.51,1744.0,1750.07,1679558399999
1679558400000,1750.07,1756.2,1747.01,1750.53,1679561999999
1679562000000,1750.53,1755.55,1748.09,1754.09,1679565599999
1679565600000,1754.09,1758.78,1749.29,1750.08,1679569199999
1679569200000,1750.09,1756.66,1744.1,1753.81,1679572799999
1679572800000,1753.81,1757.1,1749.13,1750.29,1679576399999
1679576400000,1750.3,1751.81,1740.01,1746.81,1679579999999
1679580000000,1746.82,1808.28,1743.6,1803.89,1679583599999
1679583600000,1803.89,1860.0,1801.73,1837.44,1679587199999
1679587200000,1837.44,1841.4,1822.08,1828.34,1679590799999
1679590800000,1828.22,1832.19,1814.68,1826.33,1679594399999
1679594400000,1826.34,1829.83,1791.65,1801.63,1679597999999
1679598000000,1801.63,1823.0,1792.66,1820.01,1679601599999
1679601600000,1820.07,1820.4,1805.35,1815.42,1679605199999
1679605200000,1815.41,1815.42,1802.77,1813.94,1679608799999
1679608800000,1813.95,1814.75,1802.71,1808.13,1679612399999
1679612400000,1808.12,1820.96,1806.77,1813.27,1679615999999
1679616000000,1813.26,1818.17,1808.77,1809.82,1679619599999
1679619600000,1809.82,1817.88,1805.57,1814.31,1679623199999
1679623200000,1814.31,1817.91,1808.19,1808.51,1679626799999
1679626800000,1808.51,1812.81,1808.3,1811.38,1679630399999
1679630400000,1811.38,1814.4,1802.34,1803.92,1679633999999
1679634000000,1803.92,1812.57,1803.44,1810.94,1679637599999
1679637600000,1810.94,1814.26,1809.86,1812.36,1679641199999
1679641200000,1812.37,1817.12,1808.21,1814.66,1679644799999
1679644800000,1814.67,1816.16,1786.0,1794.01,1679648399999
1679648400000,1794.0,1799.38,1779.65,1786.15,1679651999999
1679652000000,1786.15,1788.16,1775.82,1786.8,1679655599999
1679655600000,1786.79,1789.35,1720.0,1744.38,1679659199999
