open_time,open,high,low,close,close_time
1567962000000,10000.0,10000.0,10000.0,10000.0,1567965599999
1567965600000,10000.0,10000.0,10000.0,10000.0,1567969199999
1567969200000,10344.77,10357.53,10337.43,10340.12,1567972799999
1567972800000,10340.12,10368.64,10334.54,10351.42,1567976399999
1567976400000,10351.42,10391.9,10324.77,10391.9,1567979999999
1567980000000,10392.59,10412.65,10375.58,10375.58,1567983599999
1567983600000,10375.58,10392.25,10366.57,10391.63,1567987199999
1567987200000,10391.63,10391.63,10391.63,10391.63,1567990799999
1567990800000,10391.63,10391.63,10391.63,10391.63,1567994399999
1567994400000,10316.62,10316.65,10294.29,10296.04,1567997999999
1567998000000,10295.81,10316.68,10267.37,10297.89,1568001599999
1568001600000,10297.89,10316.33,10251.51,10316.3,1568005199999
1568005200000,10316.3,10316.34,10299.8,10304.32,1568008799999
1568008800000,10304.32,10305.51,10252.36,10256.09,1568012399999
1568012400000,10260.16,10273.71,10092.71,10149.47,1568015999999
1568016000000,10149.47,10170.74,10077.22,10147.84,1568019599999
1568019600000,10147.84,10267.74,10143.68,10248.89,1568023199999
1568023200000,10249.57,10256.18,10196.76,10253.25,1568026799999
1568026800000,10247.69,10475.54,10222.75,10414.6,1568030399999
1568030400000,10411.7,10411.7,10349.89,10356.75,1568033999999
1568034000000,10356.61,10389.12,10317.61,10322.37,1568037599999
1568037600000,10327.06,10363.82,10302.69,10337.55,1568041199999
1568041200000,10333.86,10363.66,10308.84,10314.26,1568044799999
1568044800000,10314.26,10333.55,10183.31,10255.44,1568048399999
1568048400000,10253.31,10296.3,10235.3,10263.33,1568051999999
1568052000000,10261.38,10288.82,10250.56,10255.58,1568055599999
1568055600000,10255.58,10323.13,10237.17,10308.87,1568059199999
1568059200000,10307.8,10420.65,10228.28,10233.85,1568062799999
1568062800000,10229.48,10343.79,10229.48,10289.48,1568066399999
1568066400000,10289.48,10358.69,10289.48,10358.69,1568069999999
1568070000000,10347.5,10382.64,10304.8,10307.0,1568073599999
1568073600000,10307.0,10373.14,10307.0,10338.61,1568077199999
1568077200000,10336.92,10382.97,10328.53,10328.53,1568080799999
1568080800000,10328.04,10356.14,10281.43,10281.43,1568084399999
1568084400000,10285.58,10320.45,10266.61,10307.25,1568087999999
1568088000000,10309.17,10329.24,10304.57,10305.21,1568091599999
1568091600000,10305.21,10306.67,10251.86,10262.85,1568095199999
1568095200000,10263.35,10271.65,10226.81,10265.96,1568098799999
1568098800000,10265.96,10304.82,10240.25,10272.46,1568102399999
1568102400000,10271.93,10286.15,10247.2,10256.08,1568105999999
1568106000000,10255.76,10290.01,10206.87,10248.67,1568109599999
1568109600000,10255.07,10280.9,10222.99,10240.32,1568113199999
1568113200000,10240.11,10259.52,10223.56,10254.56,1568116799999
1568116800000,10252.7,10270.58,10226.02,10254.63,1568120399999
1568120400000,10256.66,10258.78,10221.96,10241.79,1568123999999
1568124000000,10237.92,10239.21,10176.69,10208.34,1568127599999
1568127600000,10203.7,10222.71,10167.91,10179.1,1568131199999
1568131200000,10172.13,10237.41,10172.13,10225.4,1568134799999
1568134800000,10222.36,10232.64,10195.13,10213.69,1568138399999
1568138400000,10213.58,10218.72,10192.47,10198.27,1568141999999
1568142000000,10194.82,10202.43,9940.87,10026.56,1568145599999
1568145600000,10021.49,10080.64,9991.73,10062.53,1568149199999
1568149200000,10060.46,10127.22,10040.85,10108.06,1568152799999
1568152800000,10108.25,10124.68,10059.92,10089.7,1568156399999
1568156400000,10089.1,10124.47,10046.67,10102.02,1568159999999
1568160000000,10094.27,10293.11,10090.62,10142.52,1568163599999
1568163600000,10137.6,10158.12,10069.45,10069.75,1568167199999
1568167200000,10066.39,10099.47,10051.0,10073.2,1568170799999
1568170800000,10068.78,10116.43,10067.02,10093.88,1568174399999
1568174400000,10091.53,10097.65,10054.44,10056.42,1568177999999
1568178000000,10057.71,10074.15,9974.69,10028.63,1568181599999
1568181600000,10024.78,10050.56,9884.31,9995.45,1568185199999
1568185200000,9995.72,10078.84,9990.59,10067.46,1568188799999
1568188800000,10068.41,10074.32,10004.26,10005.18,1568192399999
1568192400000,10001.83,10034.77,9988.69,10016.05,1568195999999
1568196000000,10019.03,10118.71,10016.97,10095.66,1568199599999
1568199600000,10097.04,10138.01,10066.76,10070.53,1568203199999
1568203200000,10062.34,10099.23,10048.88,10092.05,1568206799999
1568206800000,10096.0,10101.38,10017.65,10036.64,1568210399999
1568210400000,10037.14,10063.0,9986.65,10030.18,1568213999999
1568214000000,10032.89,10032.89,9973.15,9991.84,1568217599999
1568217600000,9992.18,10110.21,9934.11,10044.87,1568221199999
1568221200000,10044.14,10077.34,10034.91,10054.43,1568224799999
1568224800000,10053.77,10123.29,10053.32,10068.2,1568228399999
1568228400000,10069.21,10103.43,10043.71,10077.6,1568231999999
1568232000000,10073.64,10125.56,10064.11,10102.87,1568235599999
1568235600000,10099.78,10184.66,10081.81,10161.51,1568239199999
1568239200000,10163.87,10176.27,10133.09,10146.21,1568242799999
1568242800000,10145.97,10166.61,10103.34,10159.55,1568246399999
1568246400000,10163.06,10205.46,10141.11,10155.22,1568249999999
1568250000000,10156.98,10173.34,10124.47,10124.55,1568253599999
1568253600000,10124.55,10133.95,10085.88,10111.76,1568257199999
1568257200000,10111.22,10139.5,10090.81,10113.43,1568260799999
1568260800000,10116.97,10129.19,10070.01,10078.37,1568264399999
1568264400000,10077.71,10103.09,10072.1,10079.86,1568267999999
1568268000000,10080.29,10083.62,10042.12,10066.37,1568271599999
1568271600000,10067.03,10088.61,10057.85,10078.96,1568275199999
1568275200000,10079.76,10151.44,10076.95,10147.32,1568278799999
1568278800000,10147.71,10171.93,10118.59,10121.65,1568282399999
1568282400000,10123.64,10177.88,10122.75,10153.96,1568285999999
1568286000000,10152.45,10187.9,10137.45,10170.93,1568289599999
1568289600000,10170.0,10239.21,10170.0,10239.21,1568293199999
1568293200000,10235.34,10360.13,10219.15,10343.84,1568296799999
1568296800000,10337.06,10357.05,10272.77,10305.07,1568300399999
1568300400000,10304.72,10365.15,10283.92,10326.58,1568303999999
